UTC_Timestamp,Download_Resolution,Download_Bitrate,Bandwidth_Estimate,FPS,Skipped_Frames,Buffer_Size,Latency_To_Broadcaster,Codecs,Protocol,Latency_Mode
1741553077385,1920x1080,1920x1080,750x422,53,7694,9292,24.20.,24.50.,avc1.64002A,mp4a.40.2,Low Latency
1741553077786,1920x1080,1920x1080,750x422,53,7694,9292,24.20.,24.50.,avc1.64002A,mp4a.40.2,Low Latency
1741553078187,1920x1080,1920x1080,750x422,53,7694,9292,24.20.,24.50.,avc1.64002A,mp4a.40.2,Low Latency
1741553078587,1920x1080,1920x1080,750x422,53,7694,9292,24.20.,24.50.,avc1.64002A,mp4a.40.2,Low Latency
1741553078987,1920x1080,1920x1080,750x422,53,7694,9292,24.20.,24.50.,avc1.64002A,mp4a.40.2,Low Latency
1741553079387,1920x1080,1920x1080,750x422,53,7694,9292,24.20.,24.50.,avc1.64002A,mp4a.40.2,Low Latency
1741553079787,1920x1080,1920x1080,750x422,53,7694,9292,24.20.,24.50.,avc1.64002A,mp4a.40.2,Low Latency
1741553080187,1920x1080,1920x1080,750x422,53,7694,9292,24.20.,24.50.,avc1.64002A,mp4a.40.2,Low Latency
1741553080588,1920x1080,1920x1080,750x422,53,7694,9292,24.20.,24.50.,avc1.64002A,mp4a.40.2,Low Latency
1741553080988,1920x1080,1920x1080,750x422,53,7694,9292,24.20.,24.50.,avc1.64002A,mp4a.40.2,Low Latency
1741553081389,1920x1080,1920x1080,750x422,53,7694,9292,24.20.,24.50.,avc1.64002A,mp4a.40.2,Low Latency
1741553081789,1920x1080,1920x1080,750x422,53,7694,9292,24.20.,24.50.,avc1.64002A,mp4a.40.2,Low Latency
1741553082190,1920x1080,1920x1080,750x422,53,7694,9292,24.20.,24.50.,avc1.64002A,mp4a.40.2,Low Latency
1741553082591,1920x1080,1920x1080,750x422,53,7694,9292,24.20.,24.50.,avc1.64002A,mp4a.40.2,Low Latency
1741553082992,1920x1080,1920x1080,750x422,53,7694,9292,24.20.,24.50.,avc1.64002A,mp4a.40.2,Low Latency
1741553083392,1920x1080,1920x1080,750x422,53,7694,9292,24.20.,24.50.,avc1.64002A,mp4a.40.2,Low Latency
1741553083792,1920x1080,1920x1080,750x422,53,7694,9292,24.20.,24.50.,avc1.64002A,mp4a.40.2,Low Latency
