UTC,Voltage (V),Current (A),Active Power (W),Computed Power (W),Frequency (Hz),Apparent Power (VA),Power Factor (PF),Total Energy (Wh),Resettable Energy (Wh),Elapsed Time (µs)
1740558803525,233,0.014,2,1.951,49.99,3,0.598,32919,32919,15945.672988891602
1740558803554,233,0.014,2,1.951,49.99,3,0.598,32919,32919,16239.643096923828
1740558803582,233,0.014,2,1.951,49.99,3,0.598,32919,32919,16319.751739501953
1740558803620,233,0.015,2,2.083,49.98,3,0.596,32919,32919,24888.038635253906
1740558803648,233,0.015,2,2.083,49.98,3,0.596,32919,32919,15955.924987792969
1740558803676,233,0.015,2,2.083,49.98,3,0.596,32919,32919,16075.372695922852
1740558803704,233,0.015,2,2.083,49.98,3,0.596,32919,32919,16072.03483581543
1740558803732,233,0.015,2,2.083,49.98,3,0.596,32919,32919,16065.835952758789
1740558803761,233,0.015,2,2.083,49.98,3,0.596,32919,32919,16033.172607421875
1740558803789,233,0.015,2,2.083,49.98,3,0.596,32919,32919,16168.355941772461
1740558803817,233,0.015,2,2.083,49.98,3,0.596,32919,32919,16387.939453125
1740558803846,233,0.015,2,2.083,49.98,3,0.596,32919,32919,15515.327453613281
1740558803873,233,0.015,2,2.083,49.98,3,0.596,32919,32919,15737.056732177734
1740558803902,233,0.015,2,2.083,49.98,3,0.596,32919,32919,16288.042068481445
1740558803931,233,0.015,2,2.083,49.98,3,0.596,32919,32919,16238.689422607422
1740558803959,233,0.015,2,2.083,49.98,3,0.596,32919,32919,16067.743301391602
1740558803987,233,0.015,2,2.083,49.98,3,0.596,32919,32919,15986.68098449707
1740558804014,233,0.015,2,2.083,49.98,3,0.596,32919,32919,15947.580337524414
1740558804042,233,0.015,2,2.083,49.98,3,0.596,32919,32919,15728.950500488281
1740558804070,233,0.015,2,2.083,49.98,3,0.596,32919,32919,16302.58560180664
1740558804098,233,0.015,2,2.083,49.98,3,0.596,32919,32919,16049.623489379883
1740558804127,233,0.015,2,2.083,49.98,3,0.596,32919,32919,16355.276107788086
1740558804155,233,0.015,2,2.083,49.98,3,0.596,32919,32919,16279.458999633789
1740558804184,233,0.015,2,2.083,49.98,3,0.596,32919,32919,16478.776931762695
1740558804212,233,0.015,2,2.083,49.98,3,0.596,32919,32919,15650.272369384766
1740558804240,233,0.015,2,2.083,49.98,3,0.596,32919,32919,15836.238861083984
1740558804268,233,0.015,2,2.083,49.98,3,0.596,32919,32919,16065.359115600586
1740558804297,233,0.015,2,2.083,49.98,3,0.596,32919,32919,16215.56282043457
1740558804326,233,0.015,2,2.083,49.98,3,0.596,32919,32919,16815.185546875
1740558804354,233,0.015,2,2.083,49.98,3,0.596,32919,32919,16209.125518798828
1740558804383,233,0.015,2,2.083,49.98,3,0.596,32919,32919,16963.00506591797
1740558804411,233,0.015,2,2.083,49.98,3,0.596,32919,32919,15885.591506958008
1740558804439,233,0.015,2,2.083,49.98,3,0.596,32919,32919,15950.918197631836
1740558804467,233,0.015,2,2.083,49.98,3,0.596,32919,32919,16068.220138549805
1740558804495,233,0.015,2,2.083,49.98,3,0.596,32919,32919,16148.090362548828
1740558804535,233,0.015,2,2.083,49.98,3,0.596,32919,32919,27307.987213134766
1740558804565,233,0.015,2,2.083,49.98,3,0.596,32919,32919,17053.36570739746
1740558804593,233,0.015,2,2.083,49.98,3,0.596,32919,32919,15657.424926757812
1740558804622,233,0.014,2,2.026,49.98,3,0.621,32919,32919,17318.248748779297
1740558804650,233,0.014,2,2.026,49.98,3,0.621,32919,32919,16118.526458740234
1740558804679,233,0.014,2,2.026,49.98,3,0.621,32919,32919,16151.189804077148
1740558804708,233,0.014,2,2.026,49.98,3,0.621,32919,32919,16706.228256225586
1740558804736,233,0.014,2,2.026,49.98,3,0.621,32919,32919,15856.027603149414
1740558804764,233,0.014,2,2.026,49.98,3,0.621,32919,32919,15740.156173706055
1740558804791,233,0.014,2,2.026,49.98,3,0.621,32919,32919,15740.87142944336
1740558804819,233,0.014,2,2.026,49.98,3,0.621,32919,32919,15921.11587524414
1740558804848,233,0.014,2,2.026,49.98,3,0.621,32919,32919,16089.916229248047
1740558804876,233,0.014,2,2.026,49.98,3,0.621,32919,32919,16118.049621582031
1740558804904,233,0.014,2,2.026,49.98,3,0.621,32919,32919,16099.691390991211
1740558804932,233,0.014,2,2.026,49.98,3,0.621,32919,32919,16021.251678466797
1740558804962,233,0.014,2,2.026,49.98,3,0.621,32919,32919,16521.453857421875
1740558804990,233,0.014,2,2.026,49.98,3,0.621,32919,32919,16079.66423034668
1740558805018,233,0.014,2,2.026,49.98,3,0.621,32919,32919,16322.612762451172
